Vendor,VendorCity,VendorID,VendorLatitude,VendorLongitude,VendorStateProvince,VendorCountry,Weight
Anchorage Gaming,Anchorage,1001,61.17440033,-149.9960022,Alaska,United States,3
Games of Salt Lake,Salt Lake City,1002,40.78839874,-111.9779968,Utah,United States,3
New Jack Games,New York,1003,40.63980103,-73.77890015,New York,United States,4
Seals Gaming,San Francisco,1004,37.61899948,-122.375,California,United States,5
Lost Angels Games,Los Angeles,1005,33.94250107,-118.4079971,California,United States,5
Flyin Hawaiian Hobbyist,Honolulu,1006,21.31870079,-157.9219971,Hawaii,United States,3
Flyin Hawaiian Hobbyist,Kahului,1007,20.89859962,-156.4299927,Hawaii,United States,2
Phoenix Games,Phoenix,1008,33.43429947,-112.012001,Arizona,United States,3
Mile High Games,Denver,1009,39.86169815,-104.6729965,Colorado,United States,4
Beantown Games,Boston,1010,42.36429977,-71.00520325,Massachusetts,United States,5
Seattle Games,Seattle,1011,47.44900131,-122.3089981,Washington,United States,3
Vegas Games,Las Vegas,1012,36.08010101,-115.1520004,Nevada,United States,2
Flyin Hawaiian Hobbyist,Kona,1013,19.73880005,-156.0460052,Hawaii,United States,2
Mickey's House of Games,Orlando,1014,28.42939949,-81.30899811,Florida,United States,3
Sactown Games,Sacramento,1015,38.69540024,-121.5910034,California,United States,4
Alice's Games,Dallas,1016,32.89680099,-97.03800201,Texas,United States,2
Flyin Hawaiian Hobbyist,Lihue,1017,21.97599983,-159.3390045,Hawaii,United States,2
Petro Games,Houston,1018,29.9843998,-95.34140015,Texas,United States,3
Atlanta Hobby Warehouse,Atlanta,1019,33.63669968,-84.42810059,Georgia,United States,5
Games of Portlandia,Portland,1020,45.58869934,-122.5979996,Oregon,United States,4
Padre Games,San Diego,1021,32.73360062,-117.1900024,California,United States,4
Capone Games,Chicago,1022,41.97859955,-87.90480042,Illinois,United States,4
San Jose Games,San Jose,1023,37.36259842,-121.9290009,California,United States,4
Liberty Gaming,Philadelphia,1024,39.87189865,-75.2410965,Pennsylvania,United States,5
Panther Games,Charlotte,1025,35.2140007,-80.94309998,North Carolina,United States,4
Frozen Games,Fairbanks,1026,64.81510162,-147.8560028,Alaska,United States,3
Beach Games,Miami,1027,25.79319954,-80.29060364,Florida,United States,4
June Cleaver Games,Juneau,1028,58.35499954,-134.576004,Alaska,United States,2
Oaksterdam Games,Oakland,1029,37.72129822,-122.2210007,California,United States,2
Hilo Entertainment,Hilo,1030,19.72139931,-155.0480042,Hawaii,United States,2
Automatic Games,Washington,1031,38.94449997,-77.45580292,Virginia,United States,3
San Juan Gaming,San Juan,1032,18.43939972,-66.00180054,Puerto Rico,United States,3
Federal Games,Washington,1033,38.85210037,-77.03769684,Virginia,United States,3
Newark Games,Newark,1034,40.69250107,-74.16870117,New Jersey,United States,4
Brooklyn Gamesters,New York,1035,40.77719879,-73.87259674,New York,United States,4
Brewing Hobby Warehouse,Milwaukee,1036,42.94720078,-87.89659882,Wisconsin,United States,4
Number 9 Games,Dallas,1037,32.8470993,-96.85179901,Texas,United States,3
Raven Gaming,Baltimore,1038,39.17539978,-76.66829681,Maryland,United States,4
Beach Games,Fort Lauderdale,1039,26.07259941,-80.15270233,Florida,United States,2
Motown Games,Detroit,1040,42.21239853,-83.35340118,Michigan,United States,4
Mini-apple Games,Minneapolis,1041,44.88199997,-93.22180176,Minnesota,United States,4
Saintly Games,New Orleans,1042,29.99340057,-90.25800323,Louisiana,United States,3
Studio Gaming,Burbank,1043,34.20069885,-118.3590012,California,United States,2
Windy Games,Santa Ana,1044,33.67570114,-117.8679962,California,United States,3
Long Games,Long Beach,1045,33.81769943,-118.1520004,California,United States,3
Rocky Games,Rock Springs,1046,41.59420013,-109.0650024,Wyoming,United States,1
Tempest Games,Tampa,1047,27.97550011,-82.53320313,Florida,United States,3
Gangsta Games,Chicago,1048,41.7859993,-87.75240326,Illinois,United States,3
Elf Games,Santa Barbara,1049,34.42620087,-119.8399963,California,United States,3
Sir Walter's House of Games,Raleigh,1050,35.87760162,-78.78749847,North Carolina,United States,3
Leaping Stag Toys,Hartford,1051,41.93889999,-72.68319702,Connecticut,United States,3
Nome Alone Games,Nome,1052,64.5121994,-165.4450073,Alaska,United States,2
SOHO Games,Houston,1053,29.64539909,-95.27890015,Texas,United States,3
Wolfie's Games,Cleveland,1054,41.4117012,-81.84980011,Ohio,United States,4
Kansas Kitchen Games,Kansas City,1055,39.29759979,-94.71389771,Missouri,United States,4
YeeHaw Games,Reno,1056,39.49909973,-119.7679977,Nevada,United States,2
West Beach Games,West Palm Beach,1057,26.68320084,-80.09559631,Florida,United States,2
Shuffle Off Games,Buffalo,1058,42.94049835,-78.73220062,New York,United States,3
Columbia Games,Columbia,1059,33.93880081,-81.11949921,South Carolina,United States,3
Austin Games,Austin,1060,30.19449997,-97.66989899,Texas,United States,5
Gonzalez Games,Fort Myers,1061,26.53619957,-81.75520325,Florida,United States,2
Pelican Games,Rhinelander,1062,45.63119888,-89.46749878,Wisconsin,United States,2
Train Games,Brainerd,1063,46.39830017,-94.13809967,Minnesota,United States,2
Ontario Games,Ontario,1064,34.05599976,-117.6009979,California,United States,3
El Centro Games,El Centro,1065,32.83420181,-115.5790024,California,United States,3
Kit & Carboodle Trains & Games,Cincinnati,1066,39.04880142,-84.6678009,Kentucky,United States,4
Phat Games,Fresno,1067,36.77619934,-119.7180023,California,United States,2
Louis' Games,St. Louis,1068,38.74869919,-90.37000275,Missouri,United States,4
Boise Scale Model Shack,Boise,1069,43.56439972,-116.2229996,Idaho,United States,3
White Plains Games,White Plains,1070,41.06700134,-73.70760345,New York,United States,3
BBQ & Games,Albuquerque,1071,35.04019928,-106.6090012,New Mexico,United States,3
Redding Games,Redding,1072,40.50899887,-122.2929993,California,United States,2
Slow Gaming,San Luis Obispo,1073,35.23680115,-120.6419983,California,United States,4
El Paso Model Shack,El Paso,1074,31.80719948,-106.3779984,Texas,United States,4
Games of Divine Providence,Providence,1075,41.73260117,-71.42040253,Rhode Island,United States,3
Wayne's World of Hobbies,Fort Wayne,1076,40.97850037,-85.19509888,Indiana,United States,2
Hobby and RC Stuff,San Antonio,1077,29.53370094,-98.46980286,Texas,United States,4
Monty's Games,Monterey,1078,36.5870018,-121.8430023,California,United States,3
Jack's Games,Jacksonville,1079,30.49410057,-81.68789673,Florida,United States,3
Sage's Games,Saginaw,1080,43.53290176,-84.07959747,Michigan,United States,2
Ketchme Shop,Ketchikan,1081,55.35559845,-131.7140045,Alaska,United States,2
Shell Games,Shreveport,1082,32.44660187,-93.82559967,Louisiana,United States,3
Odessa RC Emporium,Odessa,1083,31.94249916,-102.2020035,Texas,United States,3
Nash's Games,Nashville,1084,36.12450027,-86.67819977,Tennessee,United States,3
Ghostly Games,Casper,1085,42.90800095,-106.4639969,Wyoming,United States,1
Middle Earth Games,Richmond,1086,37.50519943,-77.31970215,Virginia,United States,3
Savoy Games,Savannah,1087,32.12760162,-81.20210266,Georgia,United States,3
Folkies Games,Norfolk,1088,36.89459991,-76.20120239,Virginia,United States,3
Yokut Games,Bakersfield,1089,35.43360138,-119.0569992,California,United States,3
Flubber Games,Lubbock,1090,33.66360092,-101.822998,Texas,United States,3
Boothill Games,Tucson,1091,32.11610031,-110.9410019,Arizona,United States,3
Cadillac Games,Amarillo,1092,35.2193985,-101.7060013,Texas,United States,3
Bill's Games,Pittsburgh,1093,40.49150085,-80.23290253,Pennsylvania,United States,4
Green Games,Greensboro,1094,36.09780121,-79.93730164,North Carolina,United States,3
Sue's Land O' Games,Sioux Falls,1095,43.58200073,-96.74189758,South Dakota,United States,2
Little Games,Little Rock,1096,34.72940063,-92.22429657,Arkansas,United States,3
Daylong Games,Dayton,1097,39.90240097,-84.2193985,Ohio,United States,4
Forest Gaming,Aspen,1098,39.22320175,-106.8690033,Colorado,United States,3
Minor Games,Minot,1099,48.25939941,-101.2799988,North Dakota,United States,2
Christopher's Games,Columbus,1100,39.9980011,-82.89189911,Ohio,United States,3
George's Games,St. George,1101,37.03638889,-113.5103056,Utah,United States,2
Okster Games,Oklahoma City,1102,35.39310074,-97.60070038,Oklahoma,United States,3
Yepper Games,Fargo,1103,46.92070007,-96.81580353,North Dakota,United States,3
Playtime Game & Hobby Shop,Pago Pago,1104,-14.33100033,-170.7100067,U.S. Territories,United States,1
Stars and Bars War Store,Vicksburg,1105,32.31119919,-90.07589722,Mississippi,United States,3
Yumster Games,Yuma,1106,32.65660095,-114.6060028,Arizona,United States,3
Speedster Games,Indianapolis,1107,39.71730042,-86.29440308,Indiana,United States,3
Dolly's Games,Madison,1108,43.13990021,-89.33750153,Wisconsin,United States,2
Playtime Game & Hobby Shop,Memphis,1109,35.04240036,-89.97669983,Tennessee,United States,3
Bouncing Games,Akron,1110,40.91609955,-81.44219971,Ohio,United States,3
Slugger Games,Louisville,1111,38.17440033,-85.73600006,Kentucky,United States,3
Doodlebug Hobbies,Charleston,1112,32.89860153,-80.04049683,South Carolina,United States,3
Mountain Games,Colorado Springs,1113,38.80580139,-104.7009964,Colorado,United States,3
Vern's Games,Fayetteville,1114,36.2818985,-94.30680084,Arkansas,United States,2
The Iron Chancellor,Bismarck,1115,46.77270126,-100.7460022,North Dakota,United States,3
Steak Games,Omaha,1116,41.30319977,-95.89409637,Nebraska,United States,4
Chill Game Shack,Burlington,1117,44.47190094,-73.15329742,Vermont,United States,3
Playtime Game & Hobby Shop,Medford,1118,42.37419891,-122.8730011,Oregon,United States,3
